的	〔白勹丶&nbsp;·&nbsp;unid〕
𠫳	〔土厶及&nbsp;·&nbsp;gkcj〕
𠫴	〔土厶𡭔丿&nbsp;·&nbsp;gkyt〕
𠫵	〔厶大⺗&nbsp;·&nbsp;kmhx〕
𠫶	〔厶里&nbsp;·&nbsp;kdl〕
𠫷	〔㐅𠂇厶丶&nbsp;·&nbsp;bnki〕
𠫸	〔𠫸&nbsp;·&nbsp;qq〕
𠫹	〔厶厶田十&nbsp;·&nbsp;kkqn〕
𠫺	〔厶口口十&nbsp;·&nbsp;kddn〕
𠫻	〔厶大士凵&nbsp;·&nbsp;kmgm〕
𠫼	〔𠫼&nbsp;·&nbsp;qq〕
𠫽	〔厶大三三&nbsp;·&nbsp;kmtt〕
𠫾	〔土厶夕夕&nbsp;·&nbsp;gkll〕
𠫿	〔厶大一&nbsp;·&nbsp;kmfb〕
𠬀	〔厶厶田厶&nbsp;·&nbsp;kkqk〕
𠬁	〔厶厶厶土&nbsp;·&nbsp;kkkg〕
𠬂	〔厶厶冖㐄&nbsp;·&nbsp;kkwv〕
𠬃	〔土厶甫&nbsp;·&nbsp;gknf〕
𠬄	〔厶厶厶三&nbsp;·&nbsp;kkkt〕
𠬅	〔厶厶厶三&nbsp;·&nbsp;kkkt〕
𠬆	〔糸糸&nbsp;·&nbsp;iis〕
𠬇	〔土厶小&nbsp;·&nbsp;gkgy〕
𠬈	〔土厶白十&nbsp;·&nbsp;gkun〕
𠬉	〔土厶爫&nbsp;·&nbsp;gkyb〕
𠬊	〔厶厶彡&nbsp;·&nbsp;koke〕
𠬋	〔厶厶日生&nbsp;·&nbsp;kkol〕
𠬌	〔䒑廾厶夊&nbsp;·&nbsp;hlkh〕
𠬍	〔厶八夊&nbsp;·&nbsp;khhp〕
𠬎	〔厶厶厶女&nbsp;·&nbsp;kkkb〕
𠬏	〔厶牛冂亡&nbsp;·&nbsp;kqmf〕
𠬐	〔齐⺼&nbsp;·&nbsp;qvy〕
𠬑	〔土厶土厶&nbsp;·&nbsp;gkgk〕
𠬒	〔土厶骨&nbsp;·&nbsp;gkfg〕
𠬓	〔厶厶厶儿&nbsp;·&nbsp;kkkp〕
𠬔	〔厶厶厶&nbsp;·&nbsp;kkka〕
𠬕	〔土厶衤甫&nbsp;·&nbsp;gktn〕
𠬖	〔土厶衤甫&nbsp;·&nbsp;gktn〕
𠬗	〔𠂇厶⺷戈&nbsp;·&nbsp;nkgp〕
𠬘	〔齐非一&nbsp;·&nbsp;qrfi〕
𠬙	〔矢口二兩&nbsp;·&nbsp;odmm〕
𠬚	〔九又&nbsp;·&nbsp;kry〕
𠬛	〔刀又&nbsp;·&nbsp;pry〕
𠬜	〔又乚乚&nbsp;·&nbsp;raae〕
𠬞	〔又&nbsp;·&nbsp;iry〕
𠬟	〔又厶&nbsp;·&nbsp;rks〕
𠬠	〔丷又&nbsp;·&nbsp;hry〕
𠬡	〔厂一又&nbsp;·&nbsp;xfry〕
𠬢	〔屮又&nbsp;·&nbsp;sry〕
𠬣	〔一ㄅ又&nbsp;·&nbsp;fary〕
𠬥	〔巾又&nbsp;·&nbsp;rry〕
𠬦	〔丿冂又&nbsp;·&nbsp;tmry〕
𠬧	〔丬又&nbsp;·&nbsp;ary〕
𠬨	〔卪又&nbsp;·&nbsp;zry〕
𠬩	〔又&nbsp;·&nbsp;cry〕
𠬪	〔爫又&nbsp;·&nbsp;yry〕
𠬫	〔㇆乚コ又&nbsp;·&nbsp;aanr〕
𠬬	〔八&nbsp;·&nbsp;hcj〕
𠬭	〔又尤&nbsp;·&nbsp;roy〕
𠬮	〔又&nbsp;·&nbsp;cry〕
𠬯	〔又幺丨&nbsp;·&nbsp;rigs〕
𠬰	〔八刀又&nbsp;·&nbsp;hpry〕
𠬱	〔口力又&nbsp;·&nbsp;dsry〕
𠬲	〔大丷又&nbsp;·&nbsp;mhry〕
𠬳	〔幺又&nbsp;·&nbsp;iiry〕
𠬴	〔又丷三&nbsp;·&nbsp;rhts〕
𠬵	〔米又&nbsp;·&nbsp;pry〕
𠬷	〔五丿又&nbsp;·&nbsp;wtry〕
𠬸	〔冂巳又&nbsp;·&nbsp;mvry〕
𠬹	〔又糸&nbsp;·&nbsp;ris〕
𠬺	〔又又&nbsp;·&nbsp;rrlc〕
𠬻	〔又&nbsp;·&nbsp;airy〕
𠬼	〔又&nbsp;·&nbsp;ulry〕
𠬽	〔又耒&nbsp;·&nbsp;ral〕
𠬾	〔又幺幺&nbsp;·&nbsp;riiy〕
𠬿	〔一又&nbsp;·&nbsp;tfir〕
𠭀	〔又又又口&nbsp;·&nbsp;rrrd〕
𠭁	〔貝又&nbsp;·&nbsp;ory〕
𠭂	〔又耂子&nbsp;·&nbsp;rqhi〕
𠭃	〔又&nbsp;·&nbsp;qry〕
𠭄	〔木口又&nbsp;·&nbsp;edry〕
𠭅	〔𠂇又一止&nbsp;·&nbsp;nrfs〕
𠭆	〔屮一口又&nbsp;·&nbsp;sfdr〕
𠭇	〔亠田又&nbsp;·&nbsp;zqry〕
𠭈	〔㇆一口又&nbsp;·&nbsp;afdr〕
𠭉	〔⺊又&nbsp;·&nbsp;ytry〕
𠭊	〔一彐又&nbsp;·&nbsp;ufbr〕
𠭋	〔又又又⺋&nbsp;·&nbsp;rrrz〕
𠭌	〔又又又儿&nbsp;·&nbsp;rrrp〕
𠭍	〔又&nbsp;·&nbsp;try〕
𠭎	〔又又口口&nbsp;·&nbsp;rrdd〕
𠭏	〔山十口又&nbsp;·&nbsp;vndr〕
𠭐	〔士又丿止&nbsp;·&nbsp;grts〕
𠭑	〔又大可&nbsp;·&nbsp;rmzk〕
𠭒	〔日曰又&nbsp;·&nbsp;oory〕
𠭓	〔止又&nbsp;·&nbsp;scry〕
𠭔	〔丿㠯⺁又&nbsp;·&nbsp;tkxr〕
𠭕	〔干人人又&nbsp;·&nbsp;ejjr〕
𠭖	〔爫古又&nbsp;·&nbsp;ycry〕
𠭗	〔虍井又&nbsp;·&nbsp;zqry〕
𠭘	〔歺又一廾&nbsp;·&nbsp;grfl〕
𠭙	〔丨厂又&nbsp;·&nbsp;bgxr〕
𠭚	〔又又又⺋&nbsp;·&nbsp;rrrz〕
𠭛	〔丿囗又&nbsp;·&nbsp;trer〕
𠭜	〔丨厂又&nbsp;·&nbsp;bgxr〕
𠭝	〔尸爿⺁又&nbsp;·&nbsp;caxr〕
𠭞	〔又又又卩&nbsp;·&nbsp;rrrz〕
𠭟	〔冖幺又&nbsp;·&nbsp;vwir〕
𠭠	〔⺈八又&nbsp;·&nbsp;xmhr〕
𠭡	〔丿人人又&nbsp;·&nbsp;tjjr〕
𠭢	〔匕夕又井&nbsp;·&nbsp;vlrq〕
𠭣	〔彑又&nbsp;·&nbsp;bjry〕
𠭤	〔口丿口又&nbsp;·&nbsp;dtdr〕
𠭥	〔屮凵示又&nbsp;·&nbsp;smfr〕
𠭦	〔八丨又&nbsp;·&nbsp;hpgr〕
𠭧	〔爫厂氵又&nbsp;·&nbsp;yxkr〕
𠭨	〔又又又八&nbsp;·&nbsp;rrrh〕
𠭩	〔一厶日又&nbsp;·&nbsp;fkor〕
𠭪	〔耳月又&nbsp;·&nbsp;qvry〕
𠭫	〔又示&nbsp;·&nbsp;rhfs〕
𠭬	〔又烏&nbsp;·&nbsp;rxu〕
𠭭	〔一ㄅ又&nbsp;·&nbsp;pfar〕
𠭮	〔⺊歹又井&nbsp;·&nbsp;ygrq〕
𠭯	〔虍且又&nbsp;·&nbsp;zfry〕
𠭰	〔未攵厂又&nbsp;·&nbsp;ahxr〕
𠭱	〔覀八土又&nbsp;·&nbsp;vhgr〕
𠭲	〔日一勹又&nbsp;·&nbsp;ofnr〕
𠭳	〔䒑丨二&nbsp;·&nbsp;hgsm〕
𠭴	〔又又又凵&nbsp;·&nbsp;rrrm〕
𠭵	〔己コ匚又&nbsp;·&nbsp;vnnr〕
𠭶	〔丷乛又&nbsp;·&nbsp;hxar〕
𠭷	〔土攵又&nbsp;·&nbsp;gchr〕
𠭸	〔止貝又&nbsp;·&nbsp;sory〕
𠭹	〔⺊貝又又&nbsp;·&nbsp;yorr〕
𠭺	〔又又丿&nbsp;·&nbsp;rrvt〕
𠭻	〔䒑又用&nbsp;·&nbsp;hsrt〕
𠭼	〔匕冖又&nbsp;·&nbsp;avwr〕
𠭽	〔又水夂巾&nbsp;·&nbsp;rkhr〕
𠭾	〔又⺈巾巾&nbsp;·&nbsp;rxrr〕
𠭿	〔一勹又&nbsp;·&nbsp;fner〕
𠮀	〔又又又各&nbsp;·&nbsp;rrrs〕
𠮁	〔㐅𣎳丶又&nbsp;·&nbsp;beir〕
𠮂	〔龷八冂又&nbsp;·&nbsp;lhmr〕
𠮃	〔尸口辛又&nbsp;·&nbsp;cdnr〕
𠮄	〔又又又儿&nbsp;·&nbsp;rrrp〕
𠮅	〔糹工艹又&nbsp;·&nbsp;iulr〕
𠮆	〔又又貝攵&nbsp;·&nbsp;rroh〕
𠮇	〔又夂巾巾&nbsp;·&nbsp;rhrr〕
𠮈	〔广七又&nbsp;·&nbsp;xrhr〕
𠮉	〔虍目又&nbsp;·&nbsp;zhqr〕
𠮊	〔日一寸又&nbsp;·&nbsp;ofkr〕
𠮋	〔丿大止又&nbsp;·&nbsp;tmsr〕
𠮌	〔又又又臼&nbsp;·&nbsp;rrrp〕
𠮍	〔山二巾又&nbsp;·&nbsp;vmrr〕
𠮎	〔工人人又&nbsp;·&nbsp;ujjr〕
𠮏	〔虍八乂又&nbsp;·&nbsp;zhbr〕
𠮐	〔又又又臼&nbsp;·&nbsp;rrrp〕
𠮑	〔革勹米又&nbsp;·&nbsp;tnpr〕
𠮒	〔音十又又&nbsp;·&nbsp;xnrr〕
𠮓	〔言糹糹又&nbsp;·&nbsp;siir〕
𠮔	〔又一鹿&nbsp;·&nbsp;rfvx〕
𠮕	〔页虫虫又&nbsp;·&nbsp;wccr〕
𠮖	〔言糹糹乚&nbsp;·&nbsp;siia〕
𠮗	〔爫糸糸又&nbsp;·&nbsp;yiir〕
𠮘	〔厶山冂不&nbsp;·&nbsp;kvmc〕
𠮙	〔口乙&nbsp;·&nbsp;dai〕
𠮚	〔囗丶&nbsp;·&nbsp;rid〕
𠮜	〔口乚&nbsp;·&nbsp;dae〕
𠮝	〔口丨&nbsp;·&nbsp;dgs〕
𠮞	〔乙口&nbsp;·&nbsp;adk〕
𠮟	〔口七&nbsp;·&nbsp;drq〕
𠮠	〔口刀&nbsp;·&nbsp;dpd〕
𠮡	〔口二&nbsp;·&nbsp;dme〕
𠮢	〔又口&nbsp;·&nbsp;rdk〕
𠮣	〔乂口&nbsp;·&nbsp;bdk〕
𠮤	〔口马&nbsp;·&nbsp;dnm〕
𠮥	〔&nbsp;·&nbsp;wt〕
𠮦	〔丷口&nbsp;·&nbsp;hdk〕
𠮧	〔口刂&nbsp;·&nbsp;dpd〕
𠮨	〔口乃&nbsp;·&nbsp;dvn〕
𠮩	〔口了&nbsp;·&nbsp;drl〕
𠮪	〔口乚乚&nbsp;·&nbsp;daae〕
𠮫	〔九丶口&nbsp;·&nbsp;kidk〕
𠮬	〔口九丶&nbsp;·&nbsp;dkid〕
𠮭	〔口勹丶&nbsp;·&nbsp;dnid〕
𠮮	〔丿𠂇口&nbsp;·&nbsp;tndk〕
𠮯	〔己口&nbsp;·&nbsp;vdk〕
𠮰	〔口巛&nbsp;·&nbsp;doc〕
𠮱	〔口二ㄅ&nbsp;·&nbsp;dmae〕
𠮲	〔口二ㄅ&nbsp;·&nbsp;dmae〕
𠮳	〔⺊一口&nbsp;·&nbsp;yfdk〕
𠮴	〔一卜口&nbsp;·&nbsp;fydk〕
𠮵	〔口⺊一&nbsp;·&nbsp;dyfi〕
𠮶	〔口人丨&nbsp;·&nbsp;djgs〕
𠮷	〔土口&nbsp;·&nbsp;gdk〕
𠮸	〔⺄&nbsp;·&nbsp;agg〕
𠮹	〔口丿&nbsp;·&nbsp;dntp〕
𠮺	〔口&nbsp;·&nbsp;dyb〕
𠮻	〔口㇏&nbsp;·&nbsp;dxid〕
𠮼	〔口寸&nbsp;·&nbsp;dkc〕
𠮽	〔口廾&nbsp;·&nbsp;dlc〕
𠮾	〔口一儿&nbsp;·&nbsp;dfpe〕
𠮿	〔口山&nbsp;·&nbsp;dvs〕
𠯀	〔口川&nbsp;·&nbsp;doc〕
𠯁	〔口止&nbsp;·&nbsp;dsi〕
𠯂	〔口子&nbsp;·&nbsp;dhi〕
𠯃	〔口凵亅&nbsp;·&nbsp;dmgs〕
𠯄	〔口刀丶&nbsp;·&nbsp;dpid〕
𠯅	〔口弋&nbsp;·&nbsp;dpi〕
𠯆	〔口女&nbsp;·&nbsp;dbn〕
𠯇	〔口己&nbsp;·&nbsp;dvj〕
𠯈	〔口大&nbsp;·&nbsp;dmd〕
𠯉	〔刀口一&nbsp;·&nbsp;pdfi〕
𠯊	〔口一&nbsp;·&nbsp;dfns〕
𠯋	〔口一ㄅ&nbsp;·&nbsp;dhfa〕
𠯌	〔㐅𠂇口&nbsp;·&nbsp;bndk〕
𠯍	〔口冂二&nbsp;·&nbsp;dmme〕
𠯎	〔口⺄&nbsp;·&nbsp;daus〕
𠯏	〔口气&nbsp;·&nbsp;dvq〕
𠯐	〔口日&nbsp;·&nbsp;dor〕
𠯑	〔氏口&nbsp;·&nbsp;bdk〕
𠯒	〔亻口&nbsp;·&nbsp;jvdk〕
𠯓	〔斤口&nbsp;·&nbsp;tdk〕
𠯔	〔口匸儿&nbsp;·&nbsp;dnpe〕
𠯕	〔口匸儿&nbsp;·&nbsp;dnpe〕
𠯖	〔口戶&nbsp;·&nbsp;dmh〕
𠯗	〔口一巾&nbsp;·&nbsp;dfrj〕
𠯘	〔口⺁又&nbsp;·&nbsp;dxry〕
𠯙	〔口小㇏&nbsp;·&nbsp;dyid〕
𠯚	〔口一&nbsp;·&nbsp;dfoc〕
𠯛	〔𠂇古&nbsp;·&nbsp;ncg〕
𠯜	〔口勹厶&nbsp;·&nbsp;dnks〕
𠯝	〔口一幺&nbsp;·&nbsp;dfiy〕
𠯞	〔口一彑&nbsp;·&nbsp;dfbj〕
𠯟	〔口见&nbsp;·&nbsp;dej〕
𠯠	〔口丶力丶&nbsp;·&nbsp;disi〕
𠯡	〔口⺊一乙&nbsp;·&nbsp;dyfa〕
𠯢	〔口卅&nbsp;·&nbsp;dls〕
𠯣	〔口之&nbsp;·&nbsp;dri〕
𠯤	〔口井&nbsp;·&nbsp;dqj〕
𠯥	〔口九十&nbsp;·&nbsp;dkns〕
𠯦	〔口七刀&nbsp;·&nbsp;drpd〕
𠯧	〔口冂丨一&nbsp;·&nbsp;dmgf〕
𠯨	〔八刀口&nbsp;·&nbsp;hpdk〕
𠯩	〔口扌乚&nbsp;·&nbsp;duae〕
𠯪	〔口歹&nbsp;·&nbsp;dgd〕
𠯫	〔口戈&nbsp;·&nbsp;dpg〕
𠯬	〔口龰&nbsp;·&nbsp;dsi〕
𠯭	〔口日&nbsp;·&nbsp;dor〕
𠯮	〔口&nbsp;·&nbsp;dor〕
𠯯	〔口片&nbsp;·&nbsp;dap〕
𠯰	〔口亻十&nbsp;·&nbsp;djns〕
𠯱	〔口入入&nbsp;·&nbsp;djju〕
𠯲	〔口月&nbsp;·&nbsp;dvy〕
𠯳	〔勹口&nbsp;·&nbsp;nedk〕
𠯴	〔口亠卜&nbsp;·&nbsp;dzyb〕
𠯵	〔口ヿ&nbsp;·&nbsp;dahb〕
𠯶	〔己㇆口&nbsp;·&nbsp;vadk〕
𠯷	〔口乃厶&nbsp;·&nbsp;dvks〕
𠯸	〔口厂丁&nbsp;·&nbsp;dxad〕
𠯹	〔口亻乃&nbsp;·&nbsp;djvn〕
𠯺	〔冫匕口&nbsp;·&nbsp;wvdk〕
𠯻	〔口幺㇆&nbsp;·&nbsp;diae〕
𠯼	〔口亻丁&nbsp;·&nbsp;djad〕
𠯽	〔口止&nbsp;·&nbsp;dsi〕
𠯾	〔口亻九&nbsp;·&nbsp;djkj〕
𠯿	〔口六&nbsp;·&nbsp;dal〕
𠰀	〔口弓丨&nbsp;·&nbsp;dbgs〕
𠰁	〔口一⺊ㄅ&nbsp;·&nbsp;dfya〕
𠰂	〔口二儿&nbsp;·&nbsp;dmpe〕
𠰃	〔口㇒士&nbsp;·&nbsp;dtgs〕
𠰄	〔口予&nbsp;·&nbsp;div〕
𠰅	〔口手&nbsp;·&nbsp;dus〕
𠰆	〔口乙&nbsp;·&nbsp;dbai〕
𠰇	〔口冖一ㄅ&nbsp;·&nbsp;dwfa〕
𠰈	〔口弓厶&nbsp;·&nbsp;dbks〕
𠰉	〔口刀口&nbsp;·&nbsp;dpdk〕
𠰊	〔口疋&nbsp;·&nbsp;dts〕
𠰋	〔口一&nbsp;·&nbsp;dtfi〕
𠰌	〔口一木&nbsp;·&nbsp;dfem〕
𠰍	〔口丶王&nbsp;·&nbsp;dinw〕
𠰎	〔口尸又&nbsp;·&nbsp;dcry〕
𠰏	〔口丿之&nbsp;·&nbsp;dtri〕
𠰐	〔口匚口&nbsp;·&nbsp;dndk〕
𠰑	〔口厂干&nbsp;·&nbsp;dxeg〕
𠰒	〔口人小&nbsp;·&nbsp;djyx〕
𠰓	〔口禾&nbsp;·&nbsp;dxh〕
𠰔	〔母口&nbsp;·&nbsp;kdk〕
𠰕	〔屮凵口&nbsp;·&nbsp;smdk〕
𠰖	〔口⺿了&nbsp;·&nbsp;dlrl〕
𠰗	〔口丿八ㄅ&nbsp;·&nbsp;dtha〕
𠰘	〔口皿&nbsp;·&nbsp;dam〕
𠰙	〔口干刂&nbsp;·&nbsp;depd〕
𠰚	〔口𠂉小&nbsp;·&nbsp;deyx〕
𠰛	〔山古&nbsp;·&nbsp;vcg〕
𠰜	〔口丿丷&nbsp;·&nbsp;dthn〕
𠰝	〔口罒&nbsp;·&nbsp;dys〕
𠰞	〔𠂉口口&nbsp;·&nbsp;eddk〕
𠰟	〔彐一ㄅ口&nbsp;·&nbsp;bfad〕
𠰠	〔口匚コ&nbsp;·&nbsp;dnnk〕
𠰡	〔口宀&nbsp;·&nbsp;dwvb〕
𠰢	〔口丷&nbsp;·&nbsp;dhus〕
𠰣	〔心丿口&nbsp;·&nbsp;htdk〕
𠰤	〔口方亅&nbsp;·&nbsp;dlgs〕
𠰥	〔䒑𠂇口&nbsp;·&nbsp;hndk〕
𠰦	〔丶口&nbsp;·&nbsp;ikdk〕
𠰧	〔口王丶&nbsp;·&nbsp;dnid〕
𠰨	〔口厂丿&nbsp;·&nbsp;dxtv〕
𠰩	〔口用&nbsp;·&nbsp;dty〕
𠰪	〔口一止&nbsp;·&nbsp;dfsi〕
𠰫	〔㇏口&nbsp;·&nbsp;aidk〕
𠰬	〔口由&nbsp;·&nbsp;ddy〕
𠰭	〔口卯&nbsp;·&nbsp;dbm〕
𠰮	〔口生&nbsp;·&nbsp;dls〕
𠰯	〔口勹丶&nbsp;·&nbsp;dnei〕
𠰰	〔亻弋口&nbsp;·&nbsp;jpdk〕
𠰱	〔口艹卩&nbsp;·&nbsp;dlzj〕
𠰲	〔口木丶&nbsp;·&nbsp;deid〕
𠰳	〔口一冂人&nbsp;·&nbsp;dfmj〕
𠰵	〔口大丷&nbsp;·&nbsp;dmhb〕
𠰶	〔一丿口&nbsp;·&nbsp;fbtd〕
𠰷	〔口⺊尸&nbsp;·&nbsp;dycs〕
𠰸	〔口囗コ&nbsp;·&nbsp;drnk〕
𠰹	〔口𠂉也&nbsp;·&nbsp;deey〕
𠰺	〔口亻弋&nbsp;·&nbsp;djpi〕
𠰻	〔口夕卜&nbsp;·&nbsp;dlyb〕
𠰼	〔口一巾&nbsp;·&nbsp;dfrj〕
𠰽	〔口宀几&nbsp;·&nbsp;dwoj〕
𠰾	〔口尸几&nbsp;·&nbsp;dcoj〕
𠰿	〔口乛水&nbsp;·&nbsp;daks〕
𠱀	〔口皮&nbsp;·&nbsp;drp〕
𠱁	〔口乙水&nbsp;·&nbsp;daks〕
𠱂	〔口一&nbsp;·&nbsp;dvfi〕
𠱃	〔口一&nbsp;·&nbsp;dmfi〕
𠱄	〔口皿&nbsp;·&nbsp;dam〕
𠱅	〔口又土&nbsp;·&nbsp;drgt〕
𠱆	〔口乃子&nbsp;·&nbsp;dvhi〕
𠱇	〔口穴&nbsp;·&nbsp;dex〕
𠱈	〔口矢&nbsp;·&nbsp;dos〕
𠱉	〔口人彡&nbsp;·&nbsp;djes〕
𠱊	〔口亻士&nbsp;·&nbsp;djgs〕
𠱋	〔口由&nbsp;·&nbsp;ddy〕
𠱌	〔口弋二&nbsp;·&nbsp;dpme〕
𠱍	〔口犭⺋&nbsp;·&nbsp;dmzj〕
𠱎	〔口勹一&nbsp;·&nbsp;dnef〕
𠱏	〔口一九二&nbsp;·&nbsp;dfkm〕
𠱐	〔口口ㄥ大&nbsp;·&nbsp;ddam〕
𠱑	〔口大口&nbsp;·&nbsp;dmdk〕
𠱒	〔丿未口&nbsp;·&nbsp;tadk〕
𠱓	〔口⺈厂⺋&nbsp;·&nbsp;dxxz〕
𠱔	〔口宀寸&nbsp;·&nbsp;dwkc〕
𠱕	〔口厶儿&nbsp;·&nbsp;dhkp〕
𠱖	〔口丿囗乂&nbsp;·&nbsp;dtrb〕
𠱗	〔冂二&nbsp;·&nbsp;gmme〕
𠱘	〔口䒑&nbsp;·&nbsp;dhsc〕
𠱙	〔口⺊一小&nbsp;·&nbsp;dyfy〕
𠱚	〔口⺊一卜&nbsp;·&nbsp;dyfy〕
𠱛	〔刀冂八口&nbsp;·&nbsp;pmhd〕
𠱜	〔口𠂇丨子&nbsp;·&nbsp;dngh〕
𠱝	〔口厶⺝&nbsp;·&nbsp;dkvy〕
𠱞	〔口九木&nbsp;·&nbsp;dkem〕
𠱟	〔口匕木&nbsp;·&nbsp;dvem〕
𠱠	〔口口口&nbsp;·&nbsp;dddk〕
𠱡	〔口&nbsp;·&nbsp;dic〕
𠱢	〔口氵干&nbsp;·&nbsp;dkeg〕
𠱣	〔口弓土&nbsp;·&nbsp;dbgt〕
𠱤	〔口⽾&nbsp;·&nbsp;dal〕
𠱥	〔口十廾&nbsp;·&nbsp;dnlc〕
𠱦	〔亻人人口&nbsp;·&nbsp;jjjd〕
𠱧	〔亻口&nbsp;·&nbsp;jtdk〕
𠱨	〔口⺄凵屮&nbsp;·&nbsp;dams〕
𠱩	〔西口&nbsp;·&nbsp;vdk〕
𠱪	〔口丶干丷&nbsp;·&nbsp;dieh〕
𠱫	〔立丿口&nbsp;·&nbsp;itdk〕
𠱬	〔冂丰口&nbsp;·&nbsp;madk〕
𠱭	〔艸口&nbsp;·&nbsp;ldk〕
𠱮	〔口厶⺼&nbsp;·&nbsp;dkvy〕
𠱯	〔口口工&nbsp;·&nbsp;ddug〕
𠱰	〔几丰口&nbsp;·&nbsp;oadk〕
𠱱	〔口勹一&nbsp;·&nbsp;dnef〕
𠱲	〔口彐彐&nbsp;·&nbsp;dbbj〕
𠱳	〔口弓弓&nbsp;·&nbsp;dbbg〕
𠱴	〔口人王&nbsp;·&nbsp;djnw〕
𠱵	〔囗丶大&nbsp;·&nbsp;rimm〕
𠱶	〔口宀一&nbsp;·&nbsp;dwfn〕
𠱷	〔口夕口&nbsp;·&nbsp;dldk〕
𠱸	〔口臣&nbsp;·&nbsp;dqc〕
𠱹	〔口扌丿七&nbsp;·&nbsp;dutr〕
𠱺	〔口乛水一&nbsp;·&nbsp;dakf〕
𠱻	〔口一冂土&nbsp;·&nbsp;dfmg〕
𠱼	〔口耂一ㄅ&nbsp;·&nbsp;dqfa〕
𠱽	〔口𠂇丨土&nbsp;·&nbsp;dngg〕
𠱾	〔口士寸&nbsp;·&nbsp;dgkc〕
𠱿	〔口力力力&nbsp;·&nbsp;dsss〕
𠲀	〔一口口&nbsp;·&nbsp;fdbd〕
𠲁	〔口口戈&nbsp;·&nbsp;ddpg〕
𠲂	〔口口大&nbsp;·&nbsp;ddmd〕
𠲃	〔口一卩&nbsp;·&nbsp;dbfz〕
𠲄	〔口夕阝&nbsp;·&nbsp;dlte〕
𠲅	〔口⺈巴&nbsp;·&nbsp;dxmb〕
𠲆	〔禾一口&nbsp;·&nbsp;xfdk〕
𠲇	〔口人不&nbsp;·&nbsp;djcb〕
𠲈	〔口人水&nbsp;·&nbsp;djks〕
𠲉	〔口亻㇒士&nbsp;·&nbsp;djtg〕
𠲊	〔口土夂&nbsp;·&nbsp;dghi〕
𠲋	〔口木冂&nbsp;·&nbsp;demk〕
𠲌	〔口戊丶&nbsp;·&nbsp;dnid〕
𠲍	〔口丿土厶&nbsp;·&nbsp;dtgk〕
𠲏	〔口亻㇒士&nbsp;·&nbsp;djtg〕
𠲐	〔口厂氏&nbsp;·&nbsp;dxbs〕
𠲑	〔丷口乙&nbsp;·&nbsp;huda〕
𠲒	〔人⺗口&nbsp;·&nbsp;jhdk〕
𠲓	〔口夂㐄&nbsp;·&nbsp;dhvk〕
𠲔	〔口亠&nbsp;·&nbsp;dzch〕
𠲕	〔口广土&nbsp;·&nbsp;dxgt〕
𠲗	〔口立丨&nbsp;·&nbsp;digs〕
𠲘	〔羊口&nbsp;·&nbsp;gdk〕
𠲙	〔口尸九丶&nbsp;·&nbsp;dcki〕
𠲚	〔口子子&nbsp;·&nbsp;dhhi〕
𠲛	〔口囗口&nbsp;·&nbsp;drdk〕
𠲜	〔口爫&nbsp;·&nbsp;dybv〕
𠲝	〔口文寸&nbsp;·&nbsp;dvkc〕
𠲞	〔口扌工&nbsp;·&nbsp;duug〕
𠲟	〔口亻牛&nbsp;·&nbsp;djqn〕
𠲠	〔口丩攵&nbsp;·&nbsp;dihp〕
𠲡	〔口女子&nbsp;·&nbsp;dbhi〕
𠲢	〔口口巾&nbsp;·&nbsp;ddrj〕
𠲣	〔口丿皿&nbsp;·&nbsp;dtam〕
𠲤	〔口氵女&nbsp;·&nbsp;dkbn〕
𠲥	〔口礻乚&nbsp;·&nbsp;dfae〕
𠲦	〔口戈𠂇&nbsp;·&nbsp;dpns〕
𠲧	〔口弋工&nbsp;·&nbsp;dpug〕
𠲨	〔口氵也&nbsp;·&nbsp;dkey〕
𠲩	〔六古&nbsp;·&nbsp;acg〕
𠲪	〔口戶⺋&nbsp;·&nbsp;dmzj〕
𠲫	〔口⺄屮凵&nbsp;·&nbsp;dasm〕
𠲬	〔口&nbsp;·&nbsp;dqc〕
𠲭	〔口幺欠&nbsp;·&nbsp;dieq〕
𠲮	〔口一巛工&nbsp;·&nbsp;dfou〕
𠲯	〔亠母口&nbsp;·&nbsp;zkdk〕
𠲰	〔口丿口&nbsp;·&nbsp;dbtd〕
𠲱	〔各&nbsp;·&nbsp;asg〕
𠲲	〔口文彡&nbsp;·&nbsp;dves〕
𠲳	〔口身&nbsp;·&nbsp;dzs〕
𠲴	〔口扌殳&nbsp;·&nbsp;durs〕
𠲵	〔口土厶力&nbsp;·&nbsp;dgks〕
𠲶	〔口&nbsp;·&nbsp;dwpe〕
𠲷	〔口耳㇗&nbsp;·&nbsp;dqae〕
𠲸	〔口田力&nbsp;·&nbsp;dqsl〕
𠲹	〔口己心&nbsp;·&nbsp;dvhx〕
𠲺	〔口山及&nbsp;·&nbsp;dvcj〕
𠲻	〔氵斤口&nbsp;·&nbsp;ktdk〕
𠲼	〔口&nbsp;·&nbsp;dpj〕
𠲽	〔口亻弗&nbsp;·&nbsp;djtf〕
𠲾	〔口勹目&nbsp;·&nbsp;dnqm〕
𠲿	〔口束&nbsp;·&nbsp;dxs〕
𠳀	〔口龴&nbsp;·&nbsp;dkty〕
𠳁	〔口囗木&nbsp;·&nbsp;drem〕
𠳂	〔口氏口&nbsp;·&nbsp;dbdk〕
𠳃	〔口工水&nbsp;·&nbsp;duks〕
