她	ta	1
趣	qut
峦	lrwu/
娈	lrwn/
脔	lrwr/
孪	lrwz/
陇	lsel/
垄	lslt/
砻	lslu/
哢	lskc/
窿	lsbu/
昽	lsol/
弄	lswc/
漋	lsdu/
𬕂	lsvb/
䂮	ltfu/
陆	luej/
露	luyk/
卤	lubx/
虏	luhl/
掳	lufl/
庐	lugh/
橹	lumo/
颅	luby/
泸	ludu/
赂	lubk/
鲈	luyu/
菉	lucu/
蕗	luck/
漉	ludl/
栌	lumu/
箓	luvu/
琭	luwu/
辘	luil/
逯	luzu/
鸬	lubn/
甪	lupy/
轳	luiu/
勠	luxl/
澛	ludo/
稑	luht/
𬬻	luju/
捋	lvfc/
履	lvuw/
缕	lvsn/
侣	lvrk/
闾	lvmk/
膂	lvfo/
偻	lvrn/
稆	lvhk/
罍	lwtf/
诔	lwyl/
酹	lwyc/
耒	lwfm/
缧	lwsx/
藟	lwct/
礌	lwut/
仑	lyrb/
溇	lzdn/
剅	lzdd/
𦝼	lzon/
蟆	maid/
摩	magu/
闵	mbmw/
愍	mbmx/
湣	mbdo/
鳘	mbpy/
黾	mbkd/
忞	mbwx/
锚	mcjt/
卯	mcpe/
茂	mccw/
昴	mcoe/
峁	mcue/
铆	mcje/
懋	mcmx/
芼	mccm/
茆	mcce/
袤	mcym/
瞀	mcmo/
眊	mcom/
蝥	mcmi/
懑	mfdx/
蒙	mgcu/
獴	mgqu/
勐	mgzl/
蠓	mgiu/
甍	mgcw/
朦	mgou/
瞢	mgco/
幪	mgju/
艨	mgvu/
蜢	mgim/
㠓	mguu/
鹲	mgcn/
芒	mhcw/
氓	mhwm/
邙	mhwe/
牤	mhnw/
厖	mhip/
蜜	mibi/
幂	mibj/
芈	micf/
靡	migf/
糜	migm/
醚	miym/
祢	mipx/
弭	mige/
汨	mido/
宓	mibb/
脒	miom/
蓂	micl/
縻	migx/
洣	midm/
嘧	miku/
漫	mjdy/
瞒	mjol/
谩	mjyy/
镘	mjjy/
颟	mjcy/
埋	mjtl/
𬜬	mjck/
暝	mkol/
溟	mkdl/
绵	mmsj/
勉	mmdl/
冕	mmoe/
沔	mmdg/
眄	mmog/
勔	mmml/
湎	mmdm/
腼	mmom/
渑	mmdd/
眇	mnou/
藐	mnce/
缪	mnsp/
鹋	mncn/
磨	mogu/
抹	mofw/
麽	mogm/
默	molq/
沫	modw/
摹	mocu/
殁	modu/
茉	mocw/
漠	modd/
貊	movb/
蓦	mocm/
瘼	mobd/
耱	molu/
无	moay/
脉	mooy/
嫫	mond/
靺	mogw/
篾	mpvd/
牧	munw/
暮	muco/
模	mumd/
慕	mucx/
幕	mucj/
募	mucl/
牡	munt/
呒	mukw/
毪	mumn/
𬭁	mujm/
酶	mwym/
梅	mwmm/
媚	mwno/
媒	mwnm/
镅	mwjo/
郿	mwue/
浼	mwde/
袂	mwpg/
楣	mwmo/
鹛	mwun/
渼	mwdd/
瑂	mwwo/
糜	mwgm/
媄	mwnd/
嵋	mwuo/
缪	mzsp/
呐	nakn/
镎	naju/
臑	ncoe/
峱	ncqu/
艿	ndcn/
鼐	ndno/
耏	ndep/
呢	nikb/
溺	nidg/
睨	nioe/
伲	nirb/
鲵	niye/
旎	nifb/
囡	njkn/
蝻	njig/
甯	nkby/
泞	nkdd/
捻	nmfx/
辇	nmfi/
拈	nmfv/
廿	nmca/
鲇	nmyv/
搦	nofg/
镊	npjy/
颞	npey/
臬	npzm/
蘖	npcm/
嗫	npky/
菍	npcx/
陧	npet/
拗	nqfl/
努	nunl/
奴	nuny/
驽	nunm/
孥	nunz/
砮	nunu/
胬	nunr/
区	oukx/
殴	ouqu/
瓯	ouqw/
𠙶	oukl/
舥	pavb/
颦	pbvu/
牝	pbnb/
姘	pbnk/
匏	pcdb/
疱	pcbb/
湃	pddf/
徘	pdrf/
砰	pgup/
硼	pguo/
朋	pgoo/
膨	pgop/
芃	pgcf/
椪	pgmy/
堋	pgto/
淜	pgdo/
搒	pgff/
鳑	phyf/
膀	phof/
劈	piud/
匹	pike/
辟	piux/
丕	piba/
疲	pibp/
痞	pibk/
坯	pitp/
嚭	pitk/
譬	piuk/
噼	pikx/
圮	pitj/
邳	pibe/
郫	pipe/
伾	pirp/
裨	pipu/
鼙	pitu/
陴	pieu/
甓	piuw/
睥	piou/
澼	pidx/
枇	pimb/
砒	piub/
蚍	piib/
纰	pisb/
仳	pirb/
鲏	piyp/
䴙	piun/
𬳵	pimp/
叛	pjby/
磐	pjvu/
槃	pjvm/
泮	pjdb/
襻	pjpu/
胖	pjob/
苹	pkcp/
鲆	pkyp/
俜	pkrk/
洴	pkdk/
泙	pkdp/
荓	pkck/
骈	pmmk/
便	pmrg/
楩	pmmg/
扁	pmhc/
㛹	pmng/
瓢	pnxg/
剽	pnxd/
朴	pnmb/
殍	pndz/
蔈	pncu/
婆	podn/
钷	pojk/
泊	podb/
皤	pobt/
桲	pomz/
繁	popx/
朴	pomb/
䥽	pojy/
蒲	pucf/
濮	pudf/
溥	pudc/
瀑	pudu/
圃	pukf/
镤	pujf/
镨	pujo/
堡	purt/
菩	puck/
匍	pubf/
潽	pudo/
脯	puof/
墣	putf/
氆	pumo/
旆	pwfj/
帔	pwjp/
霈	pwyj/
抔	pzfb/
禽	qbrn/
衾	qbry/
芹	qbcj/
溱	qbdh/
嗪	qbkh/
芩	qbcv/
揿	qbfq/
梣	qbmv/
慬	qbxw/
螓	qbih/
锓	qbjy/
檎	qbmn/
吣	qbkx/
棋	qimb/
漆	qidu/
弃	qiwc/
欺	qicq/
岂	qiuj/
砌	qiud/
琪	qiwb/
契	qifd/
淇	qidb/
泣	qidl/
琦	qiwk/
栖	qimx/
乞	qipv/
祁	qipe/
戚	qiwx/
祇	qipu/
炁	qiwh/
汽	qidq/
柒	qidm/
沏	qidd/
祈	qipj/
祺	qipb/
讫	qiyv/
岐	qiuv/
蕲	qicj/
崎	qiuk/
杞	qimj/
萁	qicb/
嘁	qikx/
凄	qidn/
碛	qiub/
畦	qitt/
綦	qicx/
亓	qiaw/
耆	qilo/
玘	qiwj/
埼	qitk/
憩	qiux/
跂	qizv/
芪	qicu/
棨	qihm/
葺	qice/
蹊	qizd/
颀	qijy/
汔	qidv/
圻	qitj/
磜	qiuu/
萋	qicn/
蛴	qiiq/
亟	qila/
俟	qiru/
郪	qiue/
稽	qiho/
缉	qise/
鲯	qiyb/
䓫	qick/
𨙸	qive/
𬨂	qiiu/
氰	qkqo/
罄	qktf/
蜻	qkio/
檠	qkcm/
亲	qklm/
庼	qkgy/
倩	qkro/
苘	qkck/
羟	qlyj/
锖	qljo/
樯	qlmk/
镪	qlji/
襁	qlpi/
蔃	qlci/
欠	qmdr/
铅	qmjk/
牵	qmdn/
迁	qmzq/
潜	qmdo/
嵌	qmuq/
钳	qmjg/
钤	qmjv/
芡	qmcq/
歉	qmjq/
仟	qmrq/
搴	qmbu/
谴	qmyl/
汧	qmdk/
荨	qmcc/
愆	qmrx/
佥	qmra/
椠	qmim/
褰	qmby/
悭	qmxt/
蒨	qmco/
岍	qmuk/
磏	qmuj/
纤	qmsq/
掮	qmfo/
圲	qmtq/
伣	qmrj/
𬘬	qmso/
翘	qnyx/
鞘	qngo/
樵	qnmh/
谯	qnyh/
侨	qnrl/
诮	qnyo/
橇	qnmm/
劁	qnrd/
峭	qnuo/
硚	qnul/
鞒	qngl/
雀	qnxv/
憔	qnxh/
硗	qnuw/
惬	qpxj/
郄	qpxe/
裘	qqqy/
楸	qqmh/
璆	qqwp/
遒	qqzy/
泅	qqdr/
俅	qqrq/
鼽	qqzj/
赇	qqbq/
龟	qqdd/
蚯	qqiq/
蝤	qqiy/
鹙	qqhn/
訄	qqjk/
犰	qqqj/
巯	qqji/
𨱇	qqjq/
拳	qrju/
醛	qryw/
颧	qrcy/
铨	qrjw/
痊	qrbw/
辁	qriw/
棬	qrmv/
鳈	qryu/
邛	qsge/
銎	qsgj/
䓖	qscl/
榷	qtmv/
阕	qtmt/
碏	qtuo/
埆	qtty/
𬒈	qtxu/
娶	quen/
趋	qute/
躯	quuq/
蘧	qucu/
袪	qupq/
胠	quoq/
朐	quoj/
劬	qujl/
阒	qumq/
苣	qucj/
戌	quwa/
鸲	qujn/
焌	quhw/
蠼	quiy/
氍	quom/
坥	qutq/
灈	qudv/
蛐	quiq/
磲	quum/
竘	qulj/
䓛	quci/
拤	qxfb/
仁	rfre/
衽	rfpw/
仞	rfrr/
讱	rfyr/
纴	rfsw/
荏	rfcw/
蒻	rocg/
鄀	roce/
戎	rsgu/
蓉	rscg/
茸	rsce/
濡	rude/
褥	rupc/
襦	rupe/
蓐	rucc/
洳	rudk/
蠕	ruie/
溽	rudc/
薷	ruce/
芮	rvcn/
蕤	rvcu/
糅	rzmm/
潵	sadw/
挲	sadu/
璱	sewb/
颡	shyy/
思	sitx/
嗣	sikk/
巳	sikv/
嘶	sikj/
俟	siru/
笥	sivk/
汜	sids/
咝	siks/
伺	sirk/
鸶	sisn/
涘	sidu/
缌	sisx/
澌	sidj/
蛳	siij/
飔	sifx/
㟃	siuk/
楒	simx/
毵	sjsm/
唆	sokw/
溹	sodx/
葰	socw/
唢	sokb/
嗍	soko/
莎	socu/
挲	sodu/
桫	somu/
耸	ssre/
嵩	ssuk/
讼	ssyg/
凇	ssdg/
𪨊	ssur/
忪	ssxg/
诉	suyi/
肃	suyb/
稣	suyh/
谡	suyw/
愫	suxx/
涑	sudu/
窣	subu/
傃	surx/
鹔	suyn/
蹜	suzb/
僳	surm/
隋	sveo/
燧	svhu/
尿	svuu/
隧	sveu/
邃	svzu/
眭	svot/
𫟦	sviu/
嗽	szkq/
蒐	szcg/
嗾	szku/
擞	szfw/
锼	szjy/
塌	tatx/
拓	tafu/
牠	tany/
趿	tazj/
闼	tamd/
蹋	tazx/
阘	tamx/
褟	tapx/
鿎	taud/
涛	tcdc/
洮	tcdv/
滔	tcdj/
焘	tcfh/
梼	tcmc/
叨	tckd/
绹	tcsf/
啕	tckf/
𫘦	tcmf/
肽	tdot/
邰	tdse/
薹	tdct/
酞	tdyt/
炱	tdsh/
滕	tgou/
縢	tgox/
螣	tgoi/
䲢	tgoy/
烫	thdh/
棠	thxm/
淌	thdk/
塘	thtk/
樘	thmt/
傥	thrx/
镋	thjx/
螗	thik/
鄌	thge/
铴	thjp/
䣘	thxe/
剔	tiod/
蹄	tizj/
惕	tixw/
嚏	tikz/
鹈	tibn/
擿	tifg/
绨	tisd/
荑	ticy/
倜	tirk/
逖	tizh/
鳀	tiyz/
𫘨	timz/
探	tjfm/
坦	tjtd/
炭	tjuh/
毯	tjmh/
瘫	tjbv/
潭	tjdu/
镡	tjju/
惔	tjxh/
忐	tjux/
倓	tjrh/
澹	tjdk/
锬	tjjh/
榃	tjmt/
磹	tjuu/
珽	tkww/
渟	tkdd/
蜓	tkiw/
莛	tkcw/
桯	tkmw/
颋	tkzy/
侹	tkrw/
烶	tkhw/
舔	tmux/
忝	tmtx/
湉	tmdu/
殄	tmdp/
沺	tmdt/
畋	tmtw/
淟	tmdb/
晪	tmob/
盷	tmoy/
蜩	tnik/
眺	tnov/
鲦	tnym/
迢	tnzk/
龆	tnvk/
驮	tomd/
拓	tofu/
侂	torq/
鼍	tokd/
椭	tomo/
柁	tomb/
箨	tovf/
柝	tomi/
圫	totq/
庹	togi/
𬶍	toyb/
帖	tpjv/
煓	trhe/
桐	tsmk/
僮	tsrl/
仝	tsrg/
潼	tsdl/
烔	tshk/
橦	tsml/
洞	tsdk/
峒	tsuk/
曈	tsol/
哃	tskk/
鲖	tsyk/
峂	tsud/
𦒍	tslx/
兔	tudd/
屠	tuuo/
菟	tuct/
凃	tudm/
稌	tuhm/
葖	tucq/
𬳿	tumm/
煺	tvhg/
暾	tyow/
饨	tyut/
坉	tytt/
鲨	uady/
煞	uadh/
刹	uaxd/
唼	uakn/
挲	uadu/
稍	ucho/
劭	ucdl/
潲	ucdo/
芍	uccu/
筲	ucvo/
召	ucdk/
柖	ucmk/
折	uefj/
赦	ueiw/
奢	uedo/
佘	ueru/
歙	uerq/
畲	uert/
滠	uedy/
厍	ueii/
拾	uefk/
猞	ueqg/
𪨶	ueui/
什	ufru/
渗	ufdp/
侁	ufre/
莘	ufcx/
瘆	ufbp/
甡	ufuu/
谌	ufyb/
椹	ufmb/
矧	uful/
呻	ufku/
绅	ufsu/
谂	ufyx/
胂	ufou/
葚	ufcb/
鲹	ufyp/
娠	ufni/
棽	ufmv/
𬳽	ufme/
昇	ugoc/
晟	ugoi/
甥	ugul/
眚	uguo/
乘	ugqr/
嵊	ugur/
赏	uhxb/
裳	uhxy/
觞	uhdp/
垧	uhtk/
诗	uiyc/
石	uiak/
试	uiyg/
饰	uiuj/
实	uibd/
氏	uipv/
士	uiua/
施	uify/
失	uipf/
尸	uikp/
识	uiyv/
矢	uipd/
嗜	uiko/
谥	uiym/
誓	uifk/
释	uicf/
恃	uixc/
仕	uirt/
侍	uirc/
逝	uizj/
豕	uiau/
蚀	uiui/
噬	uikr/
匙	uiob/
拭	uifg/
祏	uipu/
奭	uidb/
莳	uicc/
驶	uimu/
似	uirr/
舐	uiuu/
筮	uivr/
湜	uidz/
栻	uimg/
螫	uiii/
贳	uiub/
蓍	uico/
什	uiru/
酾	uiyd/
媞	uinz/
鼫	uiju/
鸤	uiun/
嘘	uiky/
鲺	uiyi/
殖	uidq/
峙	uiuc/
襫	uipb/
浉	uidj/
埘	uitc/
䏡	uiou/
䴓	uibn/
𫚕	uiyj/
𬤊	uiyz/
杉	ujmp/
煽	ujhx/
膻	ujod/
骟	ujmx/
赡	ujbk/
讪	ujyu/
禅	ujpu/
剡	ujhd/
鳝	ujyk/
鄯	ujye/
芟	ujcu/
姗	ujnc/
晱	ujoh/
潸	ujdo/
烻	ujhv/
单	ujbu/
栅	ujmc/
墡	ujtk/
𫮃	ujtu/
衰	ukyv/
泷	uldl/
鹴	ulyn/
漴	uldu/
槊	uonm/
妁	uonu/
闩	urma/
树	uumc/
术	uumd/
叔	uuuy/
梳	uumi/
孰	uuww/
署	uuso/
塾	uuwt/
恕	uunx/
庶	uugh/
戍	uuwd/
漱	uudq/
殊	uudw/
殳	uujy/
曙	uuoo/
枢	uumq/
菽	uucy/
蔬	uuci/
澍	uudc/
倏	uurq/
墅	uult/
腧	uuod/
摅	uufx/
纾	uusy/
秫	uuhu/
沭	uudu/
婌	uuny/
陎	uuew/
毹	uurm/
鄃	uure/
𬬸	uuju/
说	uvyx/
瘦	uzby/
守	uzbc/
兽	uzbk/
授	uzfy/
札	vamv/
闸	vamj/
栅	vamc/
咤	vakq/
揸	vafd/
鲊	vayv/
楂	vamd/
喳	vakd/
霅	vayk/
拃	vafv/
咋	vakv/
溠	vadg/
哳	vakj/
奓	vadx/
蚱	vaiv/
馇	vaud/
挓	vafq/
喋	vakm/
䃎	vaux/
鲝	vayy/
昭	vcok/
着	vcyo/
沼	vcdk/
曌	vcog/
旐	vcfv/
𬬿	vcjk/
𬶐	vcyv/
宅	vdbq/
寨	vdbm/
祭	vdxu/
择	vdff/
瘵	vdbu/
哲	vefk/
蛰	vefi/
辙	veiw/
赭	veio/
晢	vefo/
詟	velk/
䗪	vegi/
帧	vfjb/
针	vfju/
诊	vfyp/
鸩	vfbn/
赈	vfbi/
疹	vfbp/
榛	vfmh/
桢	vfmb/
胗	vfop/
畛	vftp/
禛	vfpb/
鬒	vfeb/
瑧	vfwh/
葴	vfck/
蓁	vfch/
揕	vffb/
袗	vfpp/
纼	vfsl/
郑	vgbe/
筝	vgvy/
铮	vgjy/
拯	vgfi/
峥	vguy/
诤	vgyy/
彰	vhlp/
鄣	vhle/
瘴	vhbu/
漳	vhdu/
樟	vhmu/
幛	vhju/
仉	vhrj/
暲	vhou/
知	viuk/
治	vidk/
支	viuy/
致	vigw/
汁	vidu/
置	visq/
智	viuo/
执	vifw/
掷	vife/
织	visv/
植	vimq/
跖	vizu/
滞	vidj/
秩	vihf/
旨	vibo/
侄	virt/
徵	virw/
栀	vimv/
芷	vicv/
址	vitv/
雉	viuv/
窒	vibt/
肢	viov/
陟	vieu/
痔	vibc/
沚	vidv/
栉	vime/
稚	vihv/
卮	viiv/
挚	vifu/
郅	vige/
殖	vidq/
畤	vitc/
峙	viuc/
絷	vifx/
摭	vifh/
蛭	viit/
鸷	vifn/
铚	vijt/
蜘	viik/
踬	vizb/
祉	vipv/
埴	vitq/
帜	vijv/
豸	vipp/
贽	vifb/
锧	vijb/
骘	viem/
踯	vize/
桎	vimt/
滍	vidi/
黹	viyx/
跱	vizc/
忮	vixv/
稙	vihq/
疐	viuz/
识	viyv/
禔	vipz/
胝	viou/
晊	viot/
庤	vigc/
梽	vimx/
榰	vimo/
𬃊	vimb/
詹	vjdk/
栈	vjmj/
毡	vjmv/
湛	vjdb/
辗	vjiy/
飐	vjfv/
崭	vjuj/
栴	vjmd/
谵	vjyk/
搌	vjfy/
𫗴	vjud/
妆	vlln/
壮	vllt/
戆	vllx/
拙	vofi/
酌	voyu/
叕	voyy/
擢	vofv/
濯	vodv/
焯	vohu/
涿	vodu/
浞	vodz/
棁	vomx/
䓬	vocu/
䦃	vojo/
𬸦	vofn/
馔	vrug/
颛	vruy/
僎	vrrg/
仲	vsrv/
盅	vsvm/
锺	vsjv/
舯	vsvv/
朱	vupw/
助	vuql/
驻	vumv/
诛	vuyw/
株	vumw/
渚	vudo/
箸	vuvo/
邾	vupe/
铢	vujw/
蛀	vuiv/
洙	vudw/
炷	vuhv/
茱	vucw/
竺	vuve/
伫	vurv/
苎	vucv/
麈	vulv/
槠	vumo/
舳	vuvy/
疰	vubv/
杼	vumy/
侏	vurw/
翥	vulx/
柷	vumx/
躅	vuzi/
蠋	vuii/
橥	vuqm/
术	vumd/
瘃	vubu/
𬣞	vuyv/
骓	vvmv/
缒	vvsl/
洲	vzdv/
皱	vzdp/
昼	vzid/
酎	vzyc/
诌	vzye/
绉	vzse/
辀	vziv/
啁	vzkk/
鸼	vzvn/
赒	vzbk/
妯	vzny/
娲	wann/
畖	watg/
玟	wfww/
汶	wfdw/
炆	wfhw/
辒	wfim/
刎	wfwd/
阌	wfmy/
紊	wfwx/
榅	wfmm/
芠	wfcw/
鳁	wfym/
𫘜	wfmw/
蕹	wgcv/
鹟	wggn/
忘	whwx/
亡	whwv/
妄	whwn/
罔	whkw/
弯	wjwg/
腕	wjov/
剜	wjbd/
皖	wjby/
宛	wjbv/
豌	wjdv/
纨	wjsw/
莞	wjcy/
脘	wjoy/
婠	wjnl/
琬	wjwv/
芄	wjcw/
塆	wjtg/
𬇕	wjdw/
涡	wodn/
渥	wodt/
偓	wort/
蜗	woin/
硪	wouw/
涴	wodv/
误	wuyt/
乌	wupa/
唔	wukk/
雾	wuyl/
呜	wukw/
午	wupu/
兀	wuae/
巫	wugr/
务	wuwl/
恶	wuyx/
邬	wuwe/
诬	wuyr/
寤	wubk/
庑	wugw/
侮	wurm/
忤	wuxw/
鹜	wumn/
梧	wumk/
晤	wuok/
骛	wumm/
杌	wumw/
鹀	wugn/
鼯	wujk/
圬	wutk/
妩	wunw/
洿	wudk/
珷	wuwv/
芴	wucw/
鋈	wudj/
屼	wuuw/
鹉	wuyn/
珸	wuwk/
牾	wunk/
仵	wurw/
峿	wuuk/
𣲘	wudw/
微	wwrj/
喂	wwky/
伪	wwrw/
唯	wwkv/
围	wwkw/
委	wwhn/
畏	wwty/
煨	wwhy/
隈	wwey/
炜	wwhw/
慰	wwux/
尉	wwuc/
苇	wwcw/
萎	wwcn/
蔚	wwcc/
纬	wwsw/
鲔	wwyo/
玮	wwww/
渭	wwdo/
帏	wwjw/
巍	wwug/
猬	wwqo/
薳	wwcy/
鳚	wwyc/
潍	wwdv/
亹	wwwq/
偎	wwry/
闱	wwmw/
诿	wwyn/
隗	wweg/
溦	wwdj/
沩	wwdw/
硙	wwuj/
崴	wwun/
煟	wwho/
逶	wwzn/
碨	wwuy/
琟	wwwv/
峗	wwuv/
螱	wwui/
鳂	wwyy/
𬀩	wwow/
𬱟	wwdy/
𬶏	wwyv/
薪	xbcj/
欣	xbjq/
鑫	xbjj/
歆	xblq/
镡	xbju/
囟	xbpx/
伈	xbrx/
莘	xbcx/
奚	xivd/
惜	xixo/
悉	xicx/
溪	xidd/
曦	xiok/
玺	xidy/
熄	xihx/
汐	xidx/
熙	xiih/
嘻	xikk/
檄	ximw/
铣	xije/
晞	xioj/
犀	xiun/
禧	xipk/
豨	xiuj/
烯	xihj/
隰	xieh/
郤	xige/
羲	xiyk/
谿	xivg/
郗	xixe/
牺	xinx/
歙	xirq/
僖	xirk/
咥	xikt/
禊	xipd/
翕	xirx/
熹	xith/
觋	xigj/
皙	ximb/
枲	xism/
嶲	xiuk/
饩	xiuq/
醯	xiym/
憙	xitx/
唏	xikj/
舄	xijh/
浠	xidj/
舾	xivx/
蹊	xizd/
傒	xird/
螅	xiix/
肸	xiou/
屣	xiuz/
觿	xidk/
酅	xiue/
穸	xibx/
屃	xiub/
蓰	xicz/
潟	xidh/
鳛	xiyb/
裼	xipw/
鼷	xijd/
阋	xime/
绤	xisg/
樨	ximn/
爔	xihk/
粞	ximx/
巇	xiug/
俙	xirj/
菥	xicj/
恓	xixx/
饻	xiuy/
𠅤	xiwx/
𫘬	ximd/
𬭳	xijk/
形	xkkp/
兴	xkxb/
邢	xkke/
刑	xkkd/
腥	xkou/
饧	xkup/
骍	xkmx/
婞	xkng/
惺	xkxu/
荥	xkcu/
悻	xkxg/
钘	xkjk/
硎	xkud/
𫰛	xknj/
乡	xlvp/
橡	xlmu/
巷	xlgs/
湘	xldo/
祥	xlpy/
详	xlyy/
襄	xlyf/
庠	xlgy/
骧	xlmf/
瓖	xlwf/
鲞	xljy/
珦	xlwk/
葙	xlco/
𬙋	xlsf/
咸	xmwk/
限	xmeg/
献	xmuq/
陷	xmej/
衔	xmrj/
氙	xmqu/
酰	xmye/
腺	xmou/
娴	xmnm/
羡	xmyq/
霰	xmyw/
纤	xmsq/
籼	xmmu/
涎	xmdv/
岘	xmuj/
苋	xmcj/
狝	xmqx/
筅	xmve/
燹	xmuh/
洗	xmde/
暹	xmzv/
缐	xmsu/
猃	xmqq/
痫	xmbm/
伭	xmrx/
跹	xmzq/
莶	xmcq/
挦	xmfc/
孅	xmnj/
鹇	xmmn/
禒	xmpu/
㬎	xmoh/
𪾢	xmoj/
𫍯	xmyk/
𬸣	xmbn/
削	xnxd/
筱	xnvw/
骁	xnmw/
咲	xnkt/
崤	xnuo/
枵	xnmk/
啸	xnkb/
潇	xndb/
嚣	xnkk/
虓	xnjj/
淆	xndo/
皛	xnbb/
哮	xnkz/
洨	xndf/
哓	xnkw/
涍	xndz/
滧	xndw/
蟏	xnib/
敩	xnxw/
𫍲	xnyy/
邪	xpye/
卸	xpve/
挟	xpfj/
泻	xpdy/
协	xpub/
泄	xpdu/
偕	xprb/
谐	xpyb/
胁	xpob/
解	xpdn/
榭	xpmc/
楔	xpmd/
亵	xpyw/
绁	xpsu/
撷	xpfy/
絜	xpfx/
廨	xpgn/
渫	xpdm/
偰	xprd/
瀣	xpdj/
揳	xpfd/
薢	xpcn/
躞	xpzy/
榍	xpmo/
㙦	xprt/
𬹼	xpvj/
咻	xqkm/
脩	xqro/
滫	xqdo/
珛	xqwo/
馐	xqui/
鸺	xqrn/
宣	xrbd/
璇	xrwz/
渲	xrdd/
玹	xrwx/
烜	xrhd/
漩	xrdz/
瑄	xrwd/
券	xrjd/
眩	xrox/
咺	xrkd/
儇	xrry/
晅	xrod/
翾	xrsx/
琄	xrwo/
痃	xrbx/
暶	xroz/
𫍽	xryy/
𫓶	xrjo/
𫠊	xrmx/
汹	xsdx/
诇	xsyk/
谑	xtye/
茓	xtcb/
峃	xtxu/
叙	xury/
绪	xuso/
圩	xuty/
诩	xuyx/
吁	xuky/
婿	xuno/
煦	xuoh/
媭	xupn/
勖	xuol/
蓿	xucb/
盱	xuoy/
顼	xuwy/
糈	xumo/
欻	xuhq/
洫	xudm/
湑	xudo/
畜	xuxt/
醑	xuyo/
浒	xudw/
魆	xugl/
珝	xuwx/
㳚	xudd/
𦈡	xuse/
𬣙	xuyy/
匣	xxkj/
辖	xxik/
叚	xxuy/
暇	xxoy/
狎	xxqj/
硖	xxuj/
厦	xxiw/
巡	xyzv/
薰	xych/
询	xyyo/
迅	xyzu/
洵	xydo/
徇	xyro/
蕈	xycu/
浔	xydc/
郇	xybe/
鲟	xyyc/
荨	xycc/
醺	xyyh/
栒	xymo/
獯	xyqh/
汛	xydu/
噀	xykg/
浚	xydw/
𫄸	xysh/
𬍤	xywc/
𬘓	xysi/
𬩽	xyee/
哑	yaky/
鸦	yayn/
衙	yark/
轧	yaiv/
蚜	yaiy/
猰	yaqd/
琊	yawe/
砑	yauy/
讶	yayy/
揠	yafn/
堐	yatt/
隐	ybex/
殷	ybpu/
尹	ybep/
寅	ybbb/
胤	ybeo/
铟	ybjy/
洇	ybdy/
茵	ybcy/
鄞	ybce/
喑	ybko/
垠	ybtg/
窨	ybbo/
禋	ybpt/
嚚	ybkk/
訚	ybmk/
龂	ybvj/
崟	ybuj/
慭	yblx/
夤	ybxb/
溵	ybdu/
狺	ybqk/
蟫	ybiu/
吲	ybkl/
硍	ybug/
歅	ybxq/
䲟	ybye/
𬤇	ybyt/
𬮱	ybmt/
姚	ycnv/
幺	ycvs/
曜	ycov/
谣	ycyf/
遥	yczf/
吆	ycky/
窈	ycbl/
肴	ycxo/
窅	ycbo/
鹞	ycvn/
铫	ycjv/
珧	ycwv/
疟	ycbe/
靿	ycgl/
侥	ycrw/
崾	ycun/
媱	ycnf/
㙘	yctn/
野	yely/
噎	yekb/
掖	yefw/
谒	yeyr/
冶	yedk/
晔	yeou/
腋	yeow/
咽	yeky/
揶	yefe/
痒	yhby/
漾	yhdy/
佯	yhry/
烊	yhhy/
飏	yhfp/
炀	yhhp/
羕	yhyy/
疡	yhbp/
鸯	yhyn/
恙	yhyx/
咉	yhky/
意	yilx/
依	yiry/
衣	yiwy/
医	yiku/
异	yisc/
裔	yiyk/
益	yibm/
邑	yikb/
役	yiru/
夷	yiar/
疑	yibz/
倚	yirk/
忆	yixv/
遗	yizb/
议	yiyy/
噫	yikx/
奕	yiwd/
怡	yixk/
溢	yidm/
驿	yimf/
疫	yibu/
胰	yioy/
刈	yixd/
颐	yiiy/
毅	yilu/
钇	yijv/
懿	yitx/
诣	yiyo/
彝	yihc/
揖	yife/
弋	yiyd/
轶	yiif/
羿	yixc/
祎	yipw/
镒	yijm/
贻	yibk/
佚	yirf/
谊	yiyq/
燚	yihh/
弈	yiwc/
咿	yiky/
扆	yihy/
镱	yijx/
佾	yiro/
浥	yidb/
臆	yiox/
瘗	yibt/
缢	yism/
沂	yidj/
峄	yiuf/
圯	yits/
绎	yisf/
熠	yihb/
迤	yizy/
劓	yizd/
翌	yixl/
埸	yitw/
漪	yidk/
苡	yicr/
饴	yiuk/
嶷	yiuz/
屹	yiuv/
肄	yiby/
挹	yifb/
裛	yiyb/
潩	yidg/
舣	yivy/
怿	yixf/
踦	yizk/
螠	yiim/
嗌	yikm/
簃	yivx/
薏	yicx/
洢	yidy/
荑	yicy/
旖	yifk/
悒	yixb/
嫕	yinx/
鹢	yibn/
勚	yiul/
呓	yikv/
眙	yiok/
蜴	yiiw/
廙	yigg/
枍	yimk/
癔	yibx/
杙	yimy/
宧	yibi/
扅	yihx/
㑊	yirb/
𫄷	yisx/
𫖮	yiuy/
𬟁	yicn/
𬬩	yijy/
𬺈	yivk/
沿	yjdk/
颜	yjwy/
岩	yjuu/
炎	yjhh/
彦	yjwp/
阎	yjmj/
艳	yjfb/
闫	yjms/
焰	yjhj/
淹	yjdd/
晏	yjon/
雁	yjiv/
鄢	yjve/
